time_us,state,temperature_chip_celsius,deployment_percent,pressure_mb,altitude,altitude_filt,velocity_filt,temperature_alt_celsius,mid_imu_ax,mid_imu_ay,mid_imu_az,mid_imu_gx,mid_imu_gy,mid_imu_gz,mag_x,mag_y,mag_z,high_g_x,high_g_y,high_g_z,drag_force,apogee_prediction,desired_drag_force
78932416,PAD,24.80,0,915.69,845.70,15.03,15.63,28.69,0.37,-0.07,0.68,308.17,318.41,309.63,966,5435,-327,0.10,-0.20,0.39,99.31,24.43,-20003.16
78942419,PAD,24.80,0,915.89,843.90,15.03,15.63,28.69,0.39,-0.07,0.66,311.34,317.44,306.59,966,5435,-327,0.15,-0.20,0.34,99.31,24.43,-20003.16
78952416,PAD,24.80,0,915.49,847.50,15.35,15.76,28.69,0.40,-0.08,0.65,313.78,317.07,306.95,966,5435,-327,0.10,-0.24,0.44,98.89,25.26,-19990.14
78962419,PAD,24.80,0,915.30,849.20,15.35,15.76,28.69,0.41,-0.07,0.64,315.98,316.71,309.76,966,5435,-327,0.10,-0.24,0.20,98.89,25.26,-19990.14
78972416,PAD,24.80,0,915.30,849.20,15.85,16.05,28.69,0.41,-0.07,0.63,318.17,316.46,313.66,966,5435,-327,0.05,-0.29,0.39,98.68,25.76,-19981.03
78982419,PAD,24.80,0,915.49,847.50,15.85,16.05,28.69,0.42,-0.07,0.62,320.24,316.34,317.80,966,5435,-327,0.10,-0.34,0.39,98.68,25.76,-19981.03
78992416,PAD,24.80,0,915.49,847.50,16.28,16.27,28.69,0.42,-0.06,0.63,321.83,316.59,321.22,966,5435,-327,0.20,-0.24,0.39,98.23,26.66,-19966.74
79002419,PAD,24.80,0,915.30,849.20,16.28,16.27,28.69,0.40,-0.05,0.62,323.41,316.71,324.27,966,5435,-327,0.15,-0.24,0.29,98.23,26.66,-19966.74
79012416,PAD,24.80,0,915.49,847.50,16.76,16.53,28.69,0.41,-0.04,0.64,324.63,316.59,326.10,966,5435,-327,0.15,-0.15,0.15,97.90,27.39,-19954.61
79022419,PAD,24.80,0,915.30,849.20,16.76,16.53,28.69,0.41,-0.02,0.65,325.73,317.07,326.95,966,5435,-327,0.29,-0.34,0.34,97.90,27.39,-19954.61
79032416,PAD,25.27,0,915.30,849.20,17.22,16.78,28.69,0.40,-0.01,0.65,326.34,317.07,327.68,966,5435,-327,0.15,-0.24,0.49,97.50,28.23,-19941.19
79042434,PAD,24.80,0,915.46,847.80,17.22,16.78,28.68,0.42,0.02,0.67,327.07,317.20,327.80,966,5435,-327,0.20,-0.34,0.39,97.12,28.23,-19941.19
79052416,PAD,25.27,0,915.30,849.20,17.63,16.97,28.69,0.43,0.04,0.67,327.32,317.68,328.29,966,5435,-327,0.20,-0.20,0.24,97.12,29.05,-19927.77
79062419,PAD,24.80,0,915.69,845.70,17.63,16.97,28.69,0.46,0.05,0.68,327.68,317.56,329.63,966,5435,-327,0.34,-0.44,0.39,97.12,29.05,-19927.77
79072416,PAD,24.80,0,915.30,849.20,17.94,17.08,28.69,0.49,0.07,0.69,327.68,318.05,331.95,966,5435,-327,0.24,-0.24,0.20,96.83,29.73,-19916.54
79082419,PAD,24.80,0,915.10,851.10,17.94,17.08,28.69,0.50,0.08,0.69,327.93,318.29,335.37,966,5435,-327,0.20,-0.34,0.54,96.83,29.73,-19916.54
79092416,PAD,24.80,0,915.30,849.20,18.44,17.36,28.69,0.55,0.10,0.70,328.17,318.41,339.63,966,5435,-327,0.20,-0.29,0.39,96.66,30.21,-19907.44
79102419,PAD,25.27,0,915.26,849.60,18.44,17.36,28.68,0.57,0.12,0.70,328.54,319.51,344.76,966,5435,-327,0.24,-0.44,0.49,96.66,30.21,-19907.44
79112416,PAD,24.80,0,915.26,849.60,18.88,17.58,28.68,0.57,0.12,0.69,329.02,319.51,347.93,966,5435,-327,0.39,-0.29,0.39,96.24,31.13,-19893.17
79122419,PAD,24.80,0,915.30,849.20,18.88,17.58,28.69,0.59,0.14,0.70,329.27,319.88,351.22,966,5435,-327,0.29,-0.39,0.49,96.24,31.13,-19893.17
79132416,PAD,24.80,0,915.26,849.60,19.29,17.77,28.68,0.59,0.14,0.70,330.37,320.49,353.54,966,5435,-327,0.39,-0.49,0.49,95.91,31.89,-19881.07
79142419,PAD,24.80,0,915.26,849.60,19.29,17.77,28.68,0.58,0.15,0.71,331.22,320.61,354.63,966,5435,-327,0.24,-0.39,0.68,95.91,31.89,-19881.07
79152416,PAD,24.80,0,915.26,849.60,19.70,17.96,28.68,0.58,0.14,0.73,332.07,320.49,354.39,966,5435,-327,0.39,-0.34,0.49,95.63,32.59,-19869.40
79162419,PAD,24.80,0,915.46,847.80,19.70,17.96,28.68,0.57,0.14,0.76,333.17,320.49,352.56,966,5435,-327,0.44,-0.44,0.49,95.63,32.59,-19869.40
79172416,PAD,24.80,0,915.26,849.60,20.04,18.08,28.68,0.56,0.13,0.79,334.15,320.12,350.12,966,5435,-327,0.20,-0.39,0.39,95.34,33.29,-19857.76
79182419,PAD,24.80,0,915.07,851.30,20.04,18.08,28.68,0.55,0.12,0.83,335.00,319.76,347.93,966,5435,-327,0.29,-0.29,0.73,95.34,33.29,-19857.76
79192416,PAD,24.80,0,915.26,849.60,20.49,18.33,28.68,0.53,0.11,0.85,335.37,319.27,346.10,966,5435,-327,0.34,-0.44,0.68,95.15,33.83,-19848.27
79202419,PAD,24.80,0,915.07,851.30,20.49,18.33,28.68,0.53,0.11,0.88,335.73,318.66,345.37,966,5435,-327,0.24,-0.39,0.54,95.15,33.83,-19848.27
